"filename", "language", "Java", "JSON", "comment", "blank", "total"
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\ScribeLines.java", "Java", 58, 0, 1, 13, 72
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\WarOverviewScreen.java", "Java", 24, 0, 4, 12, 40
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\client\kingdomWorkerRenderer.java", "Java", 4, 0, 0, 3, 7
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\kingdomsClient.java", "Java", 17, 0, 0, 2, 19
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\client\java\name\kingdoms\network\clientNetworkInit.java", "Java", 51, 0, 6, 21, 78
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\Kingdoms.java", "Java", 9, 0, 0, 0, 9
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\KingdomsCommands.java", "Java", 123, 0, 12, 34, 169
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\aiKingdomState.java", "Java", 48, 0, 11, 19, 78
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiDiplomacyTicker.java", "Java", 126, 0, 30, 27, 183
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiRelationNormalizer.java", "Java", 3, 0, 1, 2, 6
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\AiRelationsState.java", "Java", 26, 0, 13, 13, 52
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\diplomacy\DiplomacyEvaluator.java", "Java", 8, 0, 0, 11, 19
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\RoyalGuardManager.java", "Java", 96, 0, 17, 31, 144
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\aiKingdomEntity.java", "Java", 12, 0, 0, 3, 15
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\ai\aiKingdomNPCEntity.java", "Java", 95, 0, 5, 32, 132
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\entity\kingdomWorkerEntity.java", "Java", 140, 0, 9, 35, 184
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\kingdomState.java", "Java", 5, 0, 1, -2, 4
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\network\networkInit.java", "Java", 13, 0, 0, 4, 17
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\payload\royalGuardToggleC2SPayload.java", "Java", 18, 0, 0, 6, 24
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\sim\SimRunWriter.java", "Java", 62, 0, -7, 10, 65
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\java\name\kingdoms\war\WarState.java", "Java", 25, 0, 9, 5, 39
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\resources\assets\kingdoms\lang\en_us.json", "JSON", 0, 2, 0, 0, 2
"c:\Users\isaac\OneDrive\Documents\kingdoms-test-NEW (MAIN)\src\main\resources\assets\kingdoms\scribe_lines.json", "JSON", 0, 46, 0, 1, 47
"Total", "-", 963, 48, 112, 282, 1405
